"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>stor-</b><sup id=""cite_ref-192"" class=""reference""><a href=""#cite_note-192"">[191]</a></sup> (ΣΤΟΡ)<sup id=""cite_ref-193"" class=""reference""><a href=""#cite_note-193"">[192]</a></sup>"|"spread, strew"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%BF%CF%81%CE%AD%CE%BD%CE%BD%CF%85%CE%BC%CE%B9#Ancient_Greek"" class=""extiw"" title=""wikt:στορέννυμι"">στορέννυμι</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>storénnumi</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%8C%CF%81%CE%BD%CF%85%CE%BC%CE%B9#Ancient_Greek"" class=""extiw"" title=""wikt:στόρνυμι"">στόρνυμι</a></span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%E1%BF%B6%CE%BC%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:στρῶμα"">στρῶμα</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>strôma</i></span>)"|"biostrome, stroma
"|
"<b>strat-</b>"|"army"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%CE%B1%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στρατός"">στρατός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stratós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στρατηγία</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stratēgía</i></span>)"|"stratagem, strategic, strategist, strategus, <a href=""/wiki/Strategy"" title=""Strategy"">strategy</a>, <a href=""/wiki/Stratocracy"" title=""Stratocracy"">stratocracy</a>, stratography, stratonic
"|
"<b>streper-</b>"|"noise"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/strepere#Latin"" class=""extiw"" title=""wikt:strepere"">strepere</a></i>"|"obstreperous
"|
"<b>streph-</b>, <b>stroph-</b>, <b>strob-</b>, <b>stromb-</b><sup id=""cite_ref-194"" class=""reference""><a href=""#cite_note-194"">[193]</a></sup>"|"turn"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%CE%AD%CF%86%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:στρέφω"">στρέφειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stréphein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%CE%B5%CF%80%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στρεπτός"">στρεπτός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>streptós</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%CE%BF%CF%86%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:στροφή"">στροφή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>strophḗ</i></span>)"|"<a href=""/wiki/Anastrophe"" title=""Anastrophe"">anastrophe</a>, <a href=""/wiki/Antistrophe"" title=""Antistrophe"">antistrophe</a>, <a href=""/wiki/Apostrophe"" title=""Apostrophe"">apostrophe</a>, <a href=""/wiki/Boustrophedon"" title=""Boustrophedon"">boustrophedon</a>, <a href=""/wiki/Catastrophe_(drama)"" title=""Catastrophe (drama)"">catastrophe</a>, catastrophic, catastrophism, <a href=""/wiki/Epistrophe"" title=""Epistrophe"">epistrophe</a>, monostrophe, monostrophic, <a href=""/wiki/Strophe"" title=""Strophe"">strophe</a>, strophic
"|
"<b>strept-</b>"|"twisted"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%CE%AD%CF%86%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:στρέφω"">στρέφειν</a></span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%81%CE%B5%CF%80%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στρεπτός"">στρεπτός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>streptós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στρεψίς</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>strepsís</i></span>)"|"<a href=""/wiki/Strepsiptera"" title=""Strepsiptera"">Strepsiptera</a>, <a href=""/wiki/Strepsirrhine"" class=""mw-redirect"" title=""Strepsirrhine"">strepsirrhine</a>, <a href=""/wiki/Streptococcus"" title=""Streptococcus"">streptococcus</a>
"|
"<b>strig-</b>"|"compress"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/strix#Latin"" class=""extiw"" title=""wikt:strix"">strix</a></i>, <i lang=""la"" title=""Latin language text"">strigis</i>"|"<a href=""/wiki/Strigogyps"" title=""Strigogyps"">strigogyps</a>
"|
"<b>strigos-</b>"|"having stiff bristles"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/strigosus#Latin"" class=""extiw"" title=""wikt:strigosus"">strigosus</a></i> from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/striga#Latin"" class=""extiw"" title=""wikt:striga"">striga</a></i>"|"strigose
"|
"<b>string-</b>, <b>strict-</b>"|"tight, upright, stiff"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stringo#Latin"" class=""extiw"" title=""wikt:stringo"">stringere</a></i>, <i lang=""la"" title=""Latin language text"">strictus</i>"|"astringent, constrain, constrict, constringe, restrict, strain, strict, stringent
"|
"<b><a href=""#streph-"">stroph-</a></b>"|"turn"|"Greek"|""|"
"|
"<b>stru-</b>, <b>struct-</b>"|"to make up, build"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/struo#Latin"" class=""extiw"" title=""wikt:struo"">struere</a></i>, <i lang=""la"" title=""Latin language text"">structus</i>"|"construct, construction, construe, destroy, destruct, instruct, obstruct, structure
"|
"<b>stud-</b>"|"dedication"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/studeo#Latin"" class=""extiw"" title=""wikt:studeo"">studere</a></i>"|"<a href=""/wiki/%C3%89tude"" title=""Étude"">étude</a>, <a href=""/wiki/Student"" title=""Student"">student</a>
"|
"<b>stup-</b>"|"wonder"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stupeo#Latin"" class=""extiw"" title=""wikt:stupeo"">stupere</a></i>"|"stupid, <a href=""/wiki/Stupor"" title=""Stupor"">stupor</a>
"|
"<b>styg-</b><sup id=""cite_ref-195"" class=""reference""><a href=""#cite_note-195"">[194]</a></sup>"|"<a href=""/wiki/Styx"" title=""Styx"">Styx</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%A3%CF%84%CF%8D%CE%BE#Ancient_Greek"" class=""extiw"" title=""wikt:Στύξ"">Στύξ, Στυγός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>Stúx, Stugós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">Στύγιος</span>"|"Stygian, stygiophobia
"|
"<b>styl-</b><sup id=""cite_ref-196"" class=""reference""><a href=""#cite_note-196"">[195]</a></sup>"|"column, pillar"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%E1%BF%A6%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στῦλος"">στῦλος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stûlos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στυλόω</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stulóō</i></span>)"|"<a href=""/wiki/Amphiprostyle"" title=""Amphiprostyle"">amphiprostyle</a>, amphistyly, anastylosis, <a href=""/wiki/Araeostyle"" title=""Araeostyle"">araeostyle</a>, <a href=""/wiki/Araeosystyle"" class=""mw-redirect"" title=""Araeosystyle"">araeosystyle</a>, blastostyle, diastyle, epistyle, <a href=""/wiki/Eustyle"" class=""mw-redirect"" title=""Eustyle"">eustyle</a>, <a href=""/wiki/Hexastyle"" class=""mw-redirect"" title=""Hexastyle"">hexastyle</a>, hyostyly, <a href=""/wiki/Hypostyle"" title=""Hypostyle"">hypostyle</a>, monostylous, <a href=""/wiki/Octastyle"" class=""mw-redirect"" title=""Octastyle"">octastyle</a>, <a href=""/wiki/Orthostyle"" class=""mw-redirect"" title=""Orthostyle"">orthostyle</a>, <a href=""/wiki/Peristyle"" title=""Peristyle"">peristyle</a>, <a href=""/wiki/Prostyle"" title=""Prostyle"">prostyle</a>, <a href=""/wiki/Pycnostyle"" class=""mw-redirect"" title=""Pycnostyle"">pycnostyle</a>, stylite, <a href=""/wiki/Stylites"" class=""mw-redirect"" title=""Stylites"">Stylites</a>, <a href=""/wiki/Stylobate"" title=""Stylobate"">stylobate</a>, styloid, stylus, <a href=""/wiki/Systyle"" class=""mw-redirect"" title=""Systyle"">systyle</a>
"|
"<b>su-</b>, <b>sut-</b>"|"sew"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/suo#Latin"" class=""extiw"" title=""wikt:suo"">suere</a></i>, <i lang=""la"" title=""Latin language text"">sutus</i>"|"couture, suture
"|
"<b>suad-</b>, <b>suas-</b>"|"urge"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/suadeo#Latin"" class=""extiw"" title=""wikt:suadeo"">suadere</a></i>, <i lang=""la"" title=""Latin language text"">suasus</i>"|"persuasion
"|
"<b>suav-</b>"|"sweet"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/suavis#Latin"" class=""extiw"" title=""wikt:suavis"">suavis</a></i>"|"assuage, suave, suavity
"|
"<b>sub-</b>, <b>su-</b>, <b>suf-</b>, <b>sug-</b>, <b>sup-</b>, <b>sus-</b>"|"below"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sub#Latin"" class=""extiw"" title=""wikt:sub"">sub</a></i>"|"submarine, submerge, suffix, suggest, support
"|
"<b>subter-</b>"|"under"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/subter#Latin"" class=""extiw"" title=""wikt:subter"">subter</a></i>"|"subterfuge
"|
"<b>sucr-</b>"|"sugar"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/succarum#Latin"" class=""extiw"" title=""wikt:succarum"">succarum</a></i>"|"<a href=""/wiki/Sucrose"" title=""Sucrose"">sucrose</a>
"|
"<b>sud-</b>"|"sweat"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sudo#Latin"" class=""extiw"" title=""wikt:sudo"">sudare</a></i>"|"<a href=""/wiki/Exudate"" title=""Exudate"">exudate</a>, exude, <a href=""/wiki/Sudarium"" title=""Sudarium"">sudarium</a>, sudoriferous, <a href=""/wiki/Transudate"" title=""Transudate"">transudate</a>
"|
"<b>sui-</b>"|"self"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sui#Latin"" class=""extiw"" title=""wikt:sui"">sui</a></i>"|"<a href=""/wiki/Sui_generis"" title=""Sui generis"">sui generis</a>, suicide
"|
"<b>sulc-</b>"|"furrow"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sulcus#Latin"" class=""extiw"" title=""wikt:sulcus"">sulcus</a></i>"|"<a href=""/wiki/Sulcus_(morphology)"" title=""Sulcus (morphology)"">sulcus</a>
"|
"<b>sum-</b>"|"sum"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/summare#Latin"" class=""extiw"" title=""wikt:summare"">summare</a></i> ""to sum up"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/summa#Latin"" class=""extiw"" title=""wikt:summa"">summa</a></i> ""sum"""|"consummate, consummation, sum, summa cum laude, summary, summation
"|
"<b>sum-</b>, <b>sumpt-</b>"|"take"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sumo#Latin"" class=""extiw"" title=""wikt:sumo"">sumere</a></i>, <i lang=""la"" title=""Latin language text"">sumptus</i>"|"assume, assumption, consume, consumption, presumption, subsume
"|
"<b>super-</b>"|"above, over"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/super#Latin"" class=""extiw"" title=""wikt:super"">super</a></i>"|"insuperable, soprano, sovereign, summit, superable, superb, supercilious, supercomputer, superficial, superfluous, superimpose, superior, superlative, supermarket, supernal, supernatural, supernova, superposition, superpower, superscript, supersede, supersonic, superstition, supervene, supervise, supreme, supremum, surname, surplus, surround, survive
"|
"<b>supin-</b>"|"lying back"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/supinus#Latin"" class=""extiw"" title=""wikt:supinus"">supinus</a></i>"|"<a href=""/wiki/Supination"" class=""mw-redirect"" title=""Supination"">supination</a>, supine
"|
"<b>supra-</b>"|"above, over"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/supra#Latin"" class=""extiw"" title=""wikt:supra"">supra</a></i>"|"<a href=""/wiki/Supranationalism"" class=""mw-redirect"" title=""Supranationalism"">supranationalism</a>
"|
"<b>surd-</b>"|"deaf"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/surdus#Latin"" class=""extiw"" title=""wikt:surdus"">surdus</a></i>"|"absurdity
"|
"<b>surg-</b>"|"rise"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/surgo#Latin"" class=""extiw"" title=""wikt:surgo"">surgere</a></i>"|"insurgent, insurrection, resurgent, resurrection
"|
"<b>sybar-</b><sup id=""cite_ref-197"" class=""reference""><a href=""#cite_note-197"">[196]</a></sup>"|"<a href=""/wiki/Sybaris"" title=""Sybaris"">Sybaris</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%A3%CF%8D%CE%B2%CE%B1%CF%81%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:Σύβαρις"">Σύβαρις, συβάρεως</a></span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">Συβαρίτης</span> <i>Sybarī́tēs</i>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">Συβαριτικός</span>"|"Sybarite, sybaritic, sybaritism
"|
"<b>syc-</b>"|"fig"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">συκῆ</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">σῦκον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sûkon</i></span>)"|"sycomancy, sycophant
"|
"<b>syn-</b>, <b>sy-</b>, <b>syg-</b>, <b>syl-</b>, <b>sym-</b>, <b>sys-</b><sup id=""cite_ref-198"" class=""reference""><a href=""#cite_note-198"">[197]</a></sup>"|"with"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%8D%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:σύν"">σύν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sún</i></span>)"|"syllogism, <a href=""/wiki/Symbol"" title=""Symbol"">symbol</a>, symmetry, sympathy, synonym, synchronous, <a href=""/wiki/System"" title=""System"">system</a>
"|
"<b>syring-</b>"|"<a href=""/wiki/Pipe_(fluid_conveyance)"" title=""Pipe (fluid conveyance)"">pipe</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%8D%CF%81%CE%B9%CE%B3%CE%BE#Ancient_Greek"" class=""extiw"" title=""wikt:σύριγξ"">σύριγξ, σύριγγος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>súrinx, súringos</i></span>)"|"<a href=""/wiki/Syringe"" title=""Syringe"">syringe</a>, <a href=""/wiki/Syringodea"" title=""Syringodea"">Syringodea</a>, <a href=""/wiki/Syringoderma"" title=""Syringoderma"">Syringoderma</a>, <a href=""/wiki/Syringogaster"" title=""Syringogaster"">Syringogaster</a>, <a href=""/wiki/Syringoma"" title=""Syringoma"">syringoma</a>, <a href=""/wiki/Syringomyelia"" title=""Syringomyelia"">syringomyelia</a>, <a href=""/wiki/Syrinx_(bird_anatomy)"" title=""Syrinx (bird anatomy)"">syrinx</a>
"|
"<b>tac-</b>, <b>-tic-</b>"|"be silent"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/taceo#Latin"" class=""extiw"" title=""wikt:taceo"">tacere</a></i>, <i lang=""la"" title=""Latin language text"">tacitus</i>"|"reticent, reticence, tacit, taciturn
"|
"<b>tach-</b>"|"swift"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%84%CE%B1%CF%87%CF%8D%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ταχύς"">ταχύς</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>takhús</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">τάχος</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>tákhos</i></span>)"|"<a href=""/wiki/Tachometer"" title=""Tachometer"">tachometer</a>, <a href=""/wiki/Tachycardia"" title=""Tachycardia"">tachycardia</a>, tachyrhythmia, tachytelic
"|
"<b>taeni-</b>"|"<a href=""/wiki/Ribbon"" title=""Ribbon"">ribbon</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%84%CE%B5%CE%AF%CE%BD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:τείνω"">τείνειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>teínein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%84%CE%B1%CE%B9%CE%BD%CE%AF%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:ταινία"">ταινία</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>tainía</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ταινίδιον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>tainídion</i></span>)"|"<a href=""/wiki/Diplotene"" class=""mw-redirect"" title=""Diplotene"">diplotene</a>, <a href=""/wiki/Leptotene"" class=""mw-redirect"" title=""Leptotene"">leptotene</a>, <a href=""/wiki/Pachytene"" class=""mw-redirect"" title=""Pachytene"">pachytene</a>, <a href=""/wiki/Taenia_(architecture)"" title=""Taenia (architecture)"">taenia</a>, <a href=""/wiki/Taenidia"" title=""Taenidia"">taenidia</a>, <a href=""/wiki/Taenidium"" class=""mw-redirect"" title=""Taenidium"">taenidium</a>, <a href=""/wiki/Taeniodont"" class=""mw-redirect"" title=""Taeniodont"">taeniodont</a>, <a href=""/wiki/Taeniolabis"" title=""Taeniolabis"">Taeniolabis</a>, <a href=""/wiki/Zygotene"" class=""mw-redirect"" title=""Zygotene"">zygotene</a>
"|
"<b>tag-</b> (ΤΑΓ)<sup id=""cite_ref-199"" class=""reference""><a href=""#cite_note-199"">[198]</a></sup>"|"arrange, order"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%84%CE%AC%CF%83%CF%83%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:τάσσω"">τάσσειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>tássein</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">τακτός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>taktós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">τακτικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>taktikós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">τάξις</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>táxis</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%84%CE%AC%CE%B3%CE%BC%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:τάγμα"">τάγμα</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>tágma</i></span>)"|"<a href=""/wiki/Ataxia"" title=""Ataxia"">ataxia</a>, <a href=""/wiki/Chemotaxis"" title=""Chemotaxis"">chemotaxis</a>, epitaxis, eutaxy, hypotaxis, <a href=""/wiki/Magnetotaxis"" title=""Magnetotaxis"">magnetotaxis</a>, metasyntactic, <a href=""/wiki/Parataxis"" title=""Parataxis"">parataxis</a>, phonotactic, <a href=""/wiki/Phonotactics"" title=""Phonotactics"">phonotactics</a>, <a href=""/wiki/Phototaxis"" title=""Phototaxis"">phototaxis</a>, <a href=""/wiki/Rheotaxis"" title=""Rheotaxis"">rheotaxis</a>, syntactic, <a href=""/wiki/Syntagma_(linguistics)"" title=""Syntagma (linguistics)"">syntagma</a>, syntagmatic, syntax, tactic, <a href=""/wiki/Tagma_(biology)"" title=""Tagma (biology)"">tagma</a>, <a href=""/wiki/Taxis"" title=""Taxis"">taxis</a>, <a href=""/wiki/Taxonomy_(general)"" title=""Taxonomy (general)"">taxonomy</a>, <a href=""/wiki/Thermotaxis"" title=""Thermotaxis"">thermotaxis</a>
"|
"<b>tal-</b>"|"<a href=""/wiki/Ankle"" title=""Ankle"">ankle</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/talus#Latin"" class=""extiw"" title=""wikt:talus"">talus</a></i>"|"<a href=""/wiki/Talus_bone"" title=""Talus bone"">talus</a>
"|
